college id,name,autonomous,constructed_area,evening,girl_exclusive,is_foreign_students_enrolled,no_of_student_hostel,offers_loan,offers_scholarship,staff_quarter_available,student_hostel_available,year_of_establishment,auditorium,cafeteria,common_room,computer_center,conference_hall,connectivity_nkn,connectivity_nmeict,guest_house,gymnasium_fitness_center,health_center,indoor_stadium,laboratory,library,no_of_auditoriums,no_of_cafeteria,no_of_common_rooms,no_of_computer_centers,no_of_conference_halls,no_of_guest_houses,no_of_gymnasim_fitness_centers,no_of_health_centers,no_of_indoor_stadiums,no_of_laboratories,no_of_libraries,no_of_playgrounds,no_of_separate_rooms_for_girls,no_of_theatres,playground,separate_room_for_girls,solar_power_generation,theatre,score
14934, St. Johns College of Education  Vellore ,false,2870.7,false,false,false,1,false,true,false,true,2005,true,true,true,true,true,false,false,false,false,true,false,true,true,1,1,1,1,1,0,0,1,0,1,1,1,1,0,true,true,false,false,2.58
30413, Panineeya Mahavidyala Institute of Dental Sciences and Research Center  Hyderabad ,false,135338,false,false,false,2,false,true,true,true,2003,true,true,true,true,true,false,false,true,true,true,true,true,true,1,1,1,1,1,1,1,1,1,1,1,1,1,1,true,true,true,true,2.12
9498, Vysya College ,false, NA ,false,false,true,2,false,true,false,true,1990,true,true,true,true,true,false,false,true,true,true,true,true,true,1,1,1,2,1,1,1,1,1,3,2,1,1,2,true,true,false,true,3.22
39663, ndira Gandhi Women’s College  Selter Chhaka Cuttack. ,false,3000,false,true,false,2,false,true,false,true,1980,false,true,true,true,true,true,false,false,false,true,false,true,true,0,1,1,1,1,0,0,1,0,1,1,1,1,0,true,true,false,false,7
17133, Dimoria College ( Assamese  Economics  MTM ) ,false,9642,false,false,false,3,false,true,false,true,1979,true,true,true,true,true,false,false,true,false,true,true,true,true,1,1,2,1,1,1,0,1,1,9,1,1,1,0,true,true,false,false,3.1
36553, S.B.K. COLLEGE ,false,7940.27,false,false,false,1,false,true,false,true,1970,true,true,true,false,true,false,false,false,false,true,false,true,true,1,1,1,0,1,0,0,1,0,9,1,1,4,0,true,true,false,false,2.9
45579, SRI VIJAY VIDHYALAYA COLLEGE OF NURSING DHARMAPURI  DHARMAPURI ,false,6745.82,false,false,false,1,true,true,true,true,2008,true,true,true,true,true,true,true,true,true,true,true,true,true,1,1,1,1,1,1,1,1,1,1,1,1,1,1,true,true,true,true,7
13380, Govt. Mahavidyalaya  Bilaspur ,false,2076.39,false,false,false,0,false,true,false,false,1997,false,false,true,true,false,false,false,false,false,false,false,true,true,0,0,1,1,0,0,0,0,0,1,1,1,1,0,true,true,false,false,1.52
41645, Gokhale Education Societys Bhikusa Yamasa Kshatriya College of Commerce  Nashik 422005 ,false,5920,false,false,false,0,true,true,true,false,1957,true,false,true,true,true,false,false,false,true,false,false,true,true,1,0,1,1,1,0,1,0,0,1,1,1,1,0,true,true,false,false,3.13
30843, Dnyanprassarak Mandals College of Arts Sou. Sheela Premanand Vaidya College of  Science & VNS Bandekar College of Commerce Assagao ,false,7000,false,false,true,1,false,true,false,true,1974,true,true,false,true,true,false,false,false,false,false,true,true,true,1,2,0,1,1,0,0,0,1,7,2,1,2,0,true,true,false,false,2.91
24758, D.R.W. College  Gudur ,true,4869,false,true,false,1,false,true,false,true,1996,true,true,true,true,true,false,false,true,true,true,false,true,true,1,1,1,1,1,1,1,1,0,1,1,1,1,1,true,true,true,true,9
14893, C.K.S. College  of Education ,false,4000,false,false,false,0,false,true,false,false,2008,true,false,true,true,true,false,false,false,true,true,true,true,true,1,0,1,1,1,0,1,1,1,1,1,1,1,1,true,true,false,true,0
9920, KLES 'S S V B ARTS & COMM COLLEGE   SAVADATTI ,false,165248,false,false,false,0,false,true,false,false,1977,false,false,true,false,false,false,false,false,true,true,false,true,true,0,0,1,0,0,0,1,1,0,1,1,1,1,0,true,true,false,false,2.64
682, V. S. Patel Arts & Science College (B. C. A.) ,false,536.6,false,false,false,0,false,true,false,false,2000,false,false,true,true,true,true,true,false,false,false,false,true,true,0,0,1,1,1,0,0,0,0,2,1,1,0,0,true,false,false,false,2.58
32858, Lingaya's Lalita Devi Institute of Management & Sciences ,true,8223.51,false,false,false,2,false,true,true,true,2005,true,true,true,true,true,false,false,true,true,true,true,true,true,1,1,1,1,1,1,1,1,1,1,1,1,1,1,true,true,false,true,3.14
41042, Dr.S.N.S.Rajalakshmi College of Arts and Science ,true,24812.31,false,false,true,2,true,true,false,true,1999,true,true,true,true,true,false,true,false,true,true,true,true,true,2,1,2,7,2,0,1,1,1,2,2,6,1,0,true,true,false,false,3.15
